Quadro 5.11 Passageiros vítimas em Portugal por distrito e R.A.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Distrito e R.A.,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Aveiro,3,7,9,0.2857142857142858,28,37,30,-0.18918918918918914,723,625,652,0.043199999999999905,754,669,691,0.03288490284005974
Beja,13,3,7,1.3333333333333335,20,11,13,0.18181818181818188,186,149,180,0.20805369127516782,219,163,200,0.22699386503067487
Braga,5,6,6,0,23,12,25,1.0833333333333335,980,754,824,0.09283819628647216,1008,772,855,0.10751295336787559
Bragança,0,2,0,-1,13,16,5,-0.6875,129,110,138,0.25454545454545463,142,128,143,0.1171875
C. Branco,6,5,4,-0.19999999999999996,12,8,11,0.375,178,150,196,0.30666666666666664,196,163,211,0.29447852760736204
Coimbra,8,4,4,0,10,22,15,-0.31818181818181823,435,384,375,-0.0234375,453,410,394,-0.039024390243902474
Évora,5,3,4,0.33333333333333326,18,13,18,0.3846153846153846,166,134,138,0.029850746268656803,189,150,160,0.06666666666666665
Faro,4,8,6,-0.25,35,29,18,-0.3793103448275862,543,446,490,0.09865470852017943,582,483,514,0.06418219461697716
Guarda,3,2,5,1.5,18,12,17,0.41666666666666674,143,126,125,-0.007936507936507908,164,140,147,0.050000000000000044
Leiria,8,5,4,-0.19999999999999996,22,15,24,0.6000000000000001,472,420,466,0.10952380952380958,502,440,494,0.1227272727272728
Lisboa,11,16,10,-0.375,34,42,35,-0.16666666666666663,2090,1521,1646,0.08218277449046685,2135,1579,1691,0.07093096896770112
Portalegre,1,2,4,1,13,16,4,-0.75,104,84,101,0.20238095238095233,118,102,109,0.06862745098039214
Porto,18,8,10,0.25,27,20,33,0.6499999999999999,1854,1343,1444,0.07520476545048393,1899,1371,1487,0.08460977388767321
Santarém,9,13,9,-0.3076923076923077,41,53,41,-0.2264150943396226,508,417,432,0.03597122302158273,558,483,482,-0.0020703933747412417
Setúbal,3,6,6,0,21,32,26,-0.1875,820,729,808,0.10836762688614532,844,767,840,0.0951760104302477
V. Castelo,2,4,3,-0.25,10,12,6,-0.5,250,250,252,0.008000000000000007,262,266,261,-0.018796992481203034
Vila Real,1,4,4,0,5,14,9,-0.3571428571428571,263,202,184,-0.08910891089108908,269,220,197,-0.1045454545454545
Viseu,9,7,4,-0.4285714285714286,18,20,13,-0.35,405,334,362,0.08383233532934131,432,361,379,0.049861495844875314
R.A. Açores,6,0,4,-,23,23,12,-0.4782608695652174,180,183,167,-0.08743169398907102,209,206,183,-0.11165048543689315
R.A. Madeira,30,2,2,0,27,7,11,0.5714285714285714,238,212,221,0.04245283018867929,295,221,234,0.05882352941176472
Total,145,107,105,-0.01869158878504673,418,414,366,-0.1159420289855072,10667,8573,9201,0.07325323690656704,11230,9094,9672,0.06355839014734999
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
