Quadro 1.9 Sinistralidade em Portugal por tipo de via,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo de via,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
AE,2146,1901,2010,0.05733824302998425,67,57,49,-0.14035087719298245,168,161,150,-0.06832298136645965,3084,2674,2836,0.06058339566192972
Arruamento,24298,21609,22986,0.06372344856309864,295,231,221,-0.04329004329004327,1204,1086,1158,0.06629834254143652,28157,24301,25828,0.06283692029134613
EM,1335,1250,1264,0.011200000000000099,40,46,31,-0.32608695652173914,157,138,135,-0.021739130434782594,1609,1405,1481,0.05409252669039155
EN,6372,6258,6965,0.11297539149888136,180,180,199,0.10555555555555562,549,620,716,0.1548387096774193,8241,7785,8668,0.11342324983943475
ER,361,446,509,0.141255605381166,10,7,22,2.142857142857143,32,58,72,0.24137931034482762,468,536,613,0.14365671641791056
IC,966,880,829,-0.05795454545454548,31,40,41,0.02499999999999991,82,81,67,-0.1728395061728395,1265,1157,1101,-0.04840103716508215
IP,263,245,218,-0.11020408163265305,19,14,17,0.2142857142857142,26,23,26,0.13043478260869557,349,328,269,-0.17987804878048785
Outras vias*,1510,1687,1814,0.07528156490812088,46,43,62,0.44186046511627897,165,135,176,0.3037037037037038,1761,1928,2077,0.0772821576763485
Total,37251,34276,36595,0.0676566693896603,688,618,642,0.03883495145631066,2383,2302,2500,0.08601216333622941,44934,40114,42873,0.06877897990726423
"*Inclui acessos, estradas florestais, pontes, variantes e não definidas",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
