Quadro 4.7 Peões vítimas em Portugal segundo a luminosidade,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Luminosidade,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Dia,76,55,66,0.19999999999999996,276,227,217,-0.04405286343612336,3800,3262,3441,0.05487431023911715,4152,3544,3724,0.050790067720090315
Noite,60,45,40,-0.11111111111111116,146,109,116,0.06422018348623859,1372,1075,1038,-0.034418604651162754,1578,1229,1194,-0.028478437754271724
Aurora/Crepúsculo,4,7,3,-0.5714285714285714,28,14,17,0.2142857142857142,214,155,169,0.0903225806451613,246,176,189,0.07386363636363646
n.d.,0,0,0,-,0,0,0,-,5,0,0,-,5,0,0,-
Total,140,107,109,0.01869158878504673,450,350,350,0,5391,4492,4648,0.03472840605520933,5981,4949,5107,0.03192564154374611
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
