Quadro 5.13 Passageiros vítimas em Portugal por acesssório de segurança,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Acessório de segurança,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
C/ capacete/ cinto segurança,87,79,74,-0.06329113924050633,323,343,296,-0.13702623906705536,8872,7081,7616,0.07555430024007914,9282,7503,7986,0.06437425029988009
C/ sistema retenção de crianças,3,4,2,-0.5,23,20,13,-0.35,1009,814,943,0.15847665847665837,1035,838,958,0.1431980906921242
S/ sistema retenção de crianças,3,2,2,0,4,6,5,-0.16666666666666663,70,67,93,0.3880597014925373,77,75,100,0.33333333333333326
S/ uso capacete/cinto segurança,22,22,27,0.2272727272727273,53,43,52,0.20930232558139528,636,582,523,-0.10137457044673537,711,647,602,-0.06955177743431218
n.d.,30,0,0,-,15,2,0,-1,80,29,26,-0.10344827586206895,125,31,26,-0.16129032258064513
Total,145,107,105,-0.01869158878504673,418,414,366,-0.1159420289855072,10667,8573,9201,0.07325323690656704,11230,9094,9672,0.06355839014734999
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
