Quadro 6.16 Condutores vítimas em Portugal por acessórios de segurança,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Acessório de segurança,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Com capacete,152,170,184,0.08235294117647052,692,663,867,0.3076923076923077,8787,8838,9784,0.10703779135551028,9631,9671,10835,0.1203598386929996
Com cinto de segurança,176,165,177,0.07272727272727275,641,669,669,0,17663,15331,16092,0.04963798838953748,18480,16165,16938,0.04781936282090937
Isento,40,39,40,0.02564102564102555,132,156,176,0.1282051282051282,1972,2322,2617,0.1270456503014643,2144,2517,2833,0.12554628526023048
Sem uso de cinto/capacete,2,3,0,-1,11,13,15,0.15384615384615374,276,328,276,-0.1585365853658537,289,344,291,-0.15406976744186052
n.d.,33,27,27,0,39,37,57,0.5405405405405406,178,230,255,0.10869565217391308,250,294,339,0.15306122448979598
Total,403,404,428,0.05940594059405946,1515,1538,1784,0.15994798439531865,28876,27049,29024,0.07301563828607338,30794,28991,31236,0.07743782553206158
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
