Quadro 4.11 Peões vítimas em Portugal por ação do peão,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ação,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Em plena faixa de rodagem,48,33,35,0.06060606060606055,78,61,46,-0.24590163934426235,585,505,531,0.05148514851485153,711,599,612,0.02170283806343898
Atravessando em passagem sinalizada,21,23,20,-0.13043478260869568,145,122,126,0.032786885245901676,2481,2038,2159,0.05937193326790968,2647,2183,2305,0.05588639486944569
Transitando pela berma ou passeio,22,9,14,0.5555555555555556,40,40,35,-0.125,487,471,443,-0.05944798301486198,549,520,492,-0.05384615384615388
Atravessando fora da passagem de peões a mais de 50m de uma passagem ou quando não exista passagem,19,16,15,-0.0625,55,29,32,0.10344827586206895,401,288,300,0.04166666666666674,475,333,347,0.04204204204204198
"Atravessando fora da passagem de peões, a menos de 50m de uma passagem",8,11,9,-0.18181818181818177,44,39,40,0.02564102564102555,541,449,444,-0.011135857461024523,593,499,493,-0.012024048096192397
A sair ou entrar num veículo,3,1,5,4,17,20,15,-0.25,153,157,149,-0.05095541401273884,173,178,169,-0.050561797752809
Surgindo inesperadamente na faixa de rodagem de trás de um obstáculo,7,2,4,1,30,21,19,-0.09523809523809523,297,217,215,-0.009216589861751112,334,240,238,-0.008333333333333304
Transitando pela esquerda da faixa de rodagem,1,2,3,0.5,8,4,6,0.5,68,50,47,-0.06000000000000005,77,56,56,0
Transitando pela direita da faixa de rodagem,6,8,2,-0.75,14,4,10,1.5,131,110,125,0.13636363636363646,151,122,137,0.12295081967213117
Atravessando em passagem sinalizada com desrespeito da sinalização semafórica,2,0,2,-,6,6,5,-0.16666666666666663,111,87,91,0.04597701149425282,119,93,98,0.053763440860215006
Em trabalhos na via,1,1,0,-1,9,3,7,1.3333333333333335,59,48,63,0.3125,69,52,70,0.34615384615384626
Em ilhéu ou refúgio na via,1,1,0,-1,4,1,8,7,49,45,51,0.1333333333333333,54,47,59,0.25531914893617014
n.d.,1,0,0,-,0,0,1,-,28,27,30,0.11111111111111116,29,27,31,0.14814814814814814
Total,140,107,109,0.01869158878504673,450,350,350,0,5391,4492,4648,0.03472840605520933,5981,4949,5107,0.03192564154374611
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
