Quadro 4.13 Peões vítimas em Portugal por grupo etário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Grupo etário,VM,,,,FG,,,,FL,,,,Total de peões vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
<=14,3,3,4,0.33333333333333326,37,32,27,-0.15625,594,503,465,-0.07554671968190851,634,538,496,-0.0780669144981413
15_19,2,2,3,0.5,17,11,12,0.09090909090909083,414,334,340,0.017964071856287456,433,347,355,0.023054755043227626
20_24,4,3,2,-0.33333333333333337,23,22,13,-0.40909090909090906,340,277,267,-0.03610108303249093,367,302,282,-0.06622516556291391
25_29,3,4,4,0,15,11,17,0.5454545454545454,232,236,220,-0.06779661016949157,250,251,241,-0.03984063745019917
30_34,1,2,2,0,10,8,15,0.875,214,200,210,0.050000000000000044,225,210,227,0.08095238095238089
35_39,3,4,0,-1,11,10,8,-0.19999999999999996,220,198,221,0.11616161616161613,234,212,229,0.08018867924528306
40_44,1,5,1,-0.8,30,15,11,-0.2666666666666667,282,208,200,-0.038461538461538436,313,228,212,-0.07017543859649122
45_49,11,5,2,-0.6,22,24,18,-0.25,308,254,286,0.12598425196850394,341,283,306,0.08127208480565362
50_54,5,10,9,-0.09999999999999998,32,32,21,-0.34375,362,303,300,-0.00990099009900991,399,345,330,-0.04347826086956519
55_59,10,5,7,0.3999999999999999,35,33,31,-0.06060606060606055,412,313,315,0.006389776357827559,457,351,353,0.005698005698005604
60_64,15,16,11,-0.3125,34,26,34,0.3076923076923077,395,333,369,0.10810810810810811,444,375,414,0.10400000000000009
65_69,20,8,13,0.625,44,32,28,-0.125,346,330,344,0.042424242424242475,410,370,385,0.04054054054054057
70_74,20,8,7,-0.125,57,36,31,-0.13888888888888884,406,305,370,0.21311475409836067,483,349,408,0.1690544412607451
>=75,41,32,44,0.375,83,58,84,0.4482758620689655,866,695,741,0.06618705035971217,990,785,869,0.10700636942675157
n.d.,1,0,0,-,0,0,0,-,0,3,0,-1,1,3,0,-1
Total,140,107,109,0.01869158878504673,450,350,350,0,5391,4492,4648,0.03472840605520933,5981,4949,5107,0.03192564154374611
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
