,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 9. Sinistralidade no Continente por natureza,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro-dezembro,AcV,,,VM,,,FG,,,FL,,,IGR,,,,,,,,,,,,,
,2019,2022,2023,2019,2022,2023,2019,2022,2023,2019,2022,2023,2019,2022,2023,,,,,,,,,,,
Atropelamento,5337,4485,4654,70,69,55,443,349,358,5302,4415,4593,1.3115982761851228,1.5384615384615385,1.1817791147400087,,,,,,,,,,,
Colisão,18771,17002,18447,190,184,191,993,983,1119,24965,21745,23584,1.0121996697032656,1.0822256205152334,1.0353987098173145,,,,,,,,,,,
Despiste,11596,11301,11873,214,209,221,865,911,960,12935,12296,12881,1.8454639530872716,1.8493938589505352,1.8613661248210223,,,,,,,,,,,
Total,35704,32788,34974,474,462,467,2301,2243,2437,43202,38456,41058,1.3275823437149898,1.409052092228864,1.3352776348144337,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quadro 10. Sinistralidade no Continente por natureza, taxas de variação",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro-dezembro,AcV,,,VM,,,FG,,,FL,,,IGR,,,,,,,,,,,,,
,∆ (%) ,,,,,,,,,,,,,,,,,,,,,,,,,
,23/19,23/22,,23/19,23/22,,23/19,23/22,,23/19,23/22,,23/19,23/22,,,,,,,,,,,,
Atropelamento,-0.12797451751920552,0.037681159420289934,,-0.2142857142857143,-0.2028985507246377,,-0.19187358916478559,0.025787965616045794,,-0.1337231233496794,0.04031710079275208,,-0.09897783780465341,-0.23184357541899436,,,,,,,,,,,,
Colisão,-0.017260668051782058,0.08499000117633226,,0.0052631578947368585,0.03804347826086962,,0.12688821752265866,0.13835198372329605,,-0.05531744442219111,0.08457116578523793,,0.022919430630569115,-0.04326908346119662,,,,,,,,,,,,
Despiste,0.023887547430148315,0.05061498982390944,,0.032710280373831724,0.05741626794258381,,0.10982658959537561,0.053787047200878124,,-0.004174719752609191,0.047576447625244045,,0.008616896421709042,0.006473616105376667,,,,,,,,,,,,
Total,-0.02044588841586381,0.06667073319507133,,-0.014767932489451518,0.010822510822510845,,0.05910473707083885,0.08649130628622381,,-0.04962733206795977,0.0676617432910338,,0.005796469903260437,-0.052357508868059344,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
