,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 24. Infrações,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro-dezembro,N.º Condutores / Veículos fiscalizados,,,Total de infrações,,,Taxa de infração,,,,,,,,,,,,,,,,,,,
Entidade fiscalizadora,2022,2023,∆(%) 23/22,2022,2023,∆(%) 23/22,2022,2023,∆(%) 23/22,,,,,,,,,,,,,,,,,
ANSR,119100420,166039491,0.39411339607366624,430002,538896,0.25324068260147636,0.0036104154796431447,0.0032455893279027216,-0.10104824605296747,,,,,,,,,,,,,,,,,
GNR,7069560,7773459,0.09956758270670307,498382,458857,-0.07930663627498591,0.07049689089561444,0.05902867693776992,-0.16267687570542133,,,,,,,,,,,,,,,,,
PSP,3344086,2837464,-0.15149789808037228,224199,321909,0.4358181793852782,0.06704343129931467,0.11344954508673942,0.6921798733755908,,,,,,,,,,,,,,,,,
PML(1),927480,1068327,0.15185987838012682,326025,311335,-0.04505789433325669,0.09910577873640694,0.0896789912045466,-0.09511844467649966,,,,,,,,,,,,,,,,,
Total (2),130441546,177718741,0.3624397015349696,1478608,1630997,0.10306247497646437,0.009361900567181163,0.007855648218483927,-0.16089172683349307,,,,,,,,,,,,,,,,,
"(1) Na PML, os veículos fiscalizados por radar fixo correspondem ao número de infrações",,,,,,,,,,,,,,,,,,,,,,,,,,
(2) Taxa de infração global: sem radares fixos PML (fiscalização e infrações),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
