"Quadro 3.5 Vítimas mortais em Portugal por milhão de habitantes, segundo o grupo etário",,,,,,,,,,,
,,,,,,,,,,,
Grupo etário,População (2023),VM,VM/milhão habitantes de Portugal,,,,,,,,
,,,,,,,,,,,
<=14,1363768,11,8.065888039607911,,,,,,,,
15-19,528106,34,64.38101441756011,,,,,,,,
20-24,570651,48,84.11445874974372,,,,,,,,
25-29,570426,48,84.14763702916768,,,,,,,,
30-34,595831,36,60.419817028654094,,,,,,,,
35-39,625728,41,65.52367801984249,,,,,,,,
40-44,725913,44,60.61332418623168,,,,,,,,
45-49,820461,43,52.4095599912732,,,,,,,,
50-54,782582,59,75.39146057537741,,,,,,,,
55-59,754885,39,51.66349841366566,,,,,,,,
60-64,736800,43,58.360477741585235,,,,,,,,
65-69,685297,51,74.42028784599962,,,,,,,,
70-74,619143,28,45.223801286617146,,,,,,,,
>=75,1260135,117,92.84719494339892,,,,,,,,
Total,10639726,642,60.339899730500576,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
