Quadro 3.3 Vítimas em Portugal por sexo,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sexo,VM,,,,FG,,,,FL,,,,Total de vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Masculino,505,500,510,0.020000000000000018,1775,1684,1911,0.13479809976247026,25642,23907,25389,0.06199021207177813,27922,26091,27810,0.0658847878578821
Feminino,182,118,131,0.11016949152542366,604,618,589,-0.046925566343042124,19276,16206,17480,0.07861285943477725,20062,16942,18200,0.07425333490733088
n.d.,1,0,1,-,4,0,0,-,16,1,4,3,21,1,5,4
Total,688,618,642,0.03883495145631066,2383,2302,2500,0.08601216333622941,44934,40114,42873,0.06877897990726423,48005,43034,46015,0.06927080912766659
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
