,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quadro 22. Evolução da venda de combustível rodoviário, por tipo, 2023 vs 2022",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Tipo de Combustível,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,∆(%),,,,,,,,,,,,,
,∆(%) 23/22,∆(%) 23/22,∆(%) 23/22,∆(%) 23/22,∆(%) 23/22,∆(%) 23/22,∆(%) 23/22,∆(%) 23/22,∆(%) 23/22,∆(%) 23/22,∆(%) 23/22,∆(%) 23/22,23/22,,,,,,,,,,,,,
GPL Auto,0.22388648009459988,0.1675867507886435,0.05483028720626626,0.09568874868559418,0.18314899154196485,0.1942162339796254,0.20335230866540166,0.2437125748502993,0.24313975749840466,0.26644951140065154,0.32842316705724817,0.28037383177570097,0.20822772470267115,,,,,,,,,,,,,
Gasolina IO98,0.03400100993098798,-0.03252885624344182,0.12408995308202564,0.34551998484561475,0.16385577202675194,0.21942204301075274,0.36179429849077693,0.03831939311418009,-0.00510510510510509,0.046459824980111364,0.19409594095940963,0.12586998371094338,0.12971148334500993,,,,,,,,,,,,,
Gasolina IO95,0.19625194446890326,0.1431722054380664,0.11516205845702099,0.17598722695552826,0.16294676962495447,0.09983607552668317,0.1667370747083483,0.05841898066110485,0.025936077196638596,0.0893282931084618,0.07967144777573587,0.0697379348528191,0.11166686111770452,,,,,,,,,,,,,
Gasóleo rodoviário (1),0.13598104994829607,0.0860570320217815,0.04194645504491157,0.14619834405263554,0.11667789895029212,0.05479610942652147,0.10593221433349442,-0.0907702725111934,-0.02353681865510815,0.04937548999602637,-0.011444893994909111,-0.014913126259689102,0.04605541938432145,,,,,,,,,,,,,
Total,0.1450801888175448,0.09419944006809722,0.05512965761602473,0.1537763329576034,0.12585180056824363,0.06607256271832318,0.12175906644781431,-0.05813761868284906,-0.012197692017855921,0.05810398861007915,0.009424839209787095,0.004544176795953758,0.06001210041002958,,,,,,,,,,,,,
"(1) Inclui o gasóleo simples, o gasóleo especial e biodiesel incorporado.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
