Quadro 1.2 Sinistralidade em Portugal por dia da semana,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dia da semana,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
2.ª feira,5279,4953,5315,0.07308701796890782,91,86,83,-0.03488372093023251,255,258,325,0.2596899224806202,6330,5766,6116,0.060700659035726634
3.ª feira,5388,4847,5138,0.06003713637301433,84,68,66,-0.02941176470588236,326,293,302,0.030716723549488067,6452,5627,5969,0.06077838990581119
4.ª feira,5333,4944,5235,0.05885922330097082,98,67,62,-0.07462686567164178,284,290,320,0.10344827586206895,6384,5782,6065,0.048945001729505444
5.ª feira,5593,4906,5229,0.06583774969425193,88,69,87,0.26086956521739135,303,277,295,0.06498194945848379,6588,5664,6154,0.08651129943502833
6.ª feira,5789,5434,5814,0.06993006993007,104,105,91,-0.1333333333333333,365,343,335,-0.023323615160349864,6901,6306,6796,0.07770377418331753
Sábado,5274,4879,5173,0.06025824964131998,108,105,131,0.24761904761904763,441,424,481,0.13443396226415105,6454,5756,6159,0.07001389854065332
Domingo,4595,4313,4691,0.08764201252028747,115,118,122,0.03389830508474567,409,417,442,0.05995203836930463,5825,5213,5614,0.07692307692307687
Total,37251,34276,36595,0.0676566693896603,688,618,642,0.03883495145631066,2383,2302,2500,0.08601216333622941,44934,40114,42873,0.06877897990726423
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
