Quadro 6.12 Condutores vítimas em Portugal por situação da licença de condução,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Situação da Licença de Condução,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Caducada/ suspensa,4,2,3,0.5,6,10,4,-0.6,117,100,73,-0.27,127,112,80,-0.2857142857142857
Com licença/ carta adequada ao veiculo,337,338,363,0.07396449704142016,1256,1291,1494,0.15724244771494966,25913,23670,25476,0.07629911280101398,27506,25299,27333,0.08039843472074004
Com licença/ carta não adequada ao veiculo,11,11,7,-0.36363636363636365,30,22,24,0.09090909090909083,174,155,111,-0.28387096774193543,215,188,142,-0.24468085106382975
Em situação de instrução/exame,1,0,0,-,0,2,1,-0.5,18,22,21,-0.045454545454545414,19,24,22,-0.08333333333333337
Não necessária ao veiculo que conduz,27,31,32,0.032258064516129004,118,142,180,0.267605633802817,2114,2665,2944,0.10469043151969992,2259,2838,3156,0.11205073995771664
Sem licença/carta,16,18,22,0.22222222222222232,79,64,76,0.1875,283,295,268,-0.09152542372881356,378,377,366,-0.02917771883289122
nd,7,4,1,-0.75,26,7,5,-0.2857142857142857,257,142,131,-0.07746478873239437,290,153,137,-0.10457516339869277
Total,403,404,428,0.05940594059405946,1515,1538,1784,0.15994798439531865,28876,27049,29024,0.07301563828607338,30794,28991,31236,0.07743782553206158
n.d. - não definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
