Quadro 6.10 Condutores vítimas em Portugal por tipo de via,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo de via,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
AE,38,34,27,-0.20588235294117652,94,98,98,0,1926,1665,1787,0.07327327327327327,2058,1797,1912,0.0639955481357819
Arruamento,143,147,132,-0.10204081632653061,721,687,775,0.12809315866084425,17576,16096,17176,0.06709741550695836,18440,16930,18083,0.06810395747194331
EM,29,30,25,-0.16666666666666663,111,108,112,0.03703703703703698,1130,1044,1072,0.026819923371647514,1270,1182,1209,0.02284263959390853
EN,118,118,144,0.22033898305084754,385,424,538,0.2688679245283019,5612,5517,6154,0.11546130143193767,6115,6059,6836,0.1282389833305826
ER,3,4,11,1.75,22,45,56,0.24444444444444446,310,373,432,0.158176943699732,335,422,499,0.18246445497630326
IC,18,29,29,0,50,54,49,-0.09259259259259256,868,778,755,-0.029562982005141403,936,861,833,-0.03252032520325199
IP,14,7,12,0.7142857142857142,14,17,18,0.05882352941176472,226,215,177,-0.17674418604651165,254,239,207,-0.13389121338912136
Outras vias*,40,35,48,0.37142857142857144,118,105,138,0.3142857142857143,1228,1361,1471,0.08082292432035265,1386,1501,1657,0.10393071285809463
Total,403,404,428,0.05940594059405946,1515,1538,1784,0.15994798439531865,28876,27049,29024,0.07301563828607338,30794,28991,31236,0.07743782553206158
"*Inclui acessos, estradas florestais, pontes, variantes e não definidas",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
