Quadro 3.2 Vítimas em Portugal por categoria de veículo,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Categoria de veículo e peões,VM,,,,FG,,,,FL,,,,Total de vítimas,,,,VM/100 vítimas,,,FG/100 vítimas,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,2019,2022,2023
Peões,140,107,109,0.01869158878504673,450,350,350,0,5391,4492,4648,0.03472840605520933,5981,4949,5107,0.03192564154374611,2.340745694699883,2.162052939987876,2.1343254356765224,7.5238254472496235,7.072135785007072,6.853338554924613
Veículo ligeiro,293,272,276,0.014705882352941124,981,1001,974,-0.026973026973026948,26734,22330,23626,0.0580385132109269,28008,23603,24876,0.05393382197178331,1.0461296772350757,1.1523958818794222,1.1095031355523397,3.502570694087404,4.240986315298903,3.9154204856086188
Veículo pesado,37,16,9,-0.4375,45,29,28,-0.03448275862068961,600,607,503,-0.17133443163097195,682,652,540,-0.17177914110429449,5.425219941348973,2.4539877300613497,1.6666666666666665,6.598240469208211,4.447852760736197,5.185185185185185
Ciclomotor,36,35,29,-0.17142857142857137,158,132,131,-0.007575757575757569,2391,1781,1787,0.003368893879842849,2585,1948,1947,-0.0005133470225873182,1.3926499032882012,1.7967145790554415,1.4894709809964048,6.112185686653771,6.776180698151951,6.728299948638932
Motociclo <= 125cc,37,35,48,0.37142857142857144,215,235,295,0.25531914893617014,4330,4744,5352,0.12816188870151768,4582,5014,5695,0.13581970482648575,0.8075076385857703,0.6980454726765057,0.8428446005267778,4.692274116106503,4.686876745113682,5.179982440737489
Motociclo > 125cc,90,105,117,0.11428571428571432,342,344,499,0.4505813953488371,2790,2959,3491,0.17979046975329505,3222,3408,4107,0.205105633802817,2.793296089385475,3.080985915492958,2.8487947406866327,10.614525139664805,10.093896713615024,12.149987825663501
Velocípede,27,31,33,0.06451612903225801,121,149,180,0.20805369127516782,2172,2778,3046,0.09647228221742266,2320,2958,3259,0.10175794455713327,1.1637931034482758,1.0480054090601758,1.0125805461798096,5.2155172413793105,5.037187288708587,5.523166615526234
Quadriciclo,12,4,9,1.25,40,33,21,-0.36363636363636365,319,270,243,-0.09999999999999998,371,307,273,-0.11074918566775249,3.234501347708895,1.3029315960912053,3.2967032967032965,10.78167115902965,10.749185667752444,7.6923076923076925
Triciclo,0,1,0,-1,1,2,5,1.5,45,31,35,0.12903225806451624,46,34,40,0.17647058823529416,0,2.941176470588235,0,2.1739130434782608,5.88235294117647,12.5
Veículo agrícola,15,11,12,0.09090909090909083,25,24,14,-0.41666666666666663,105,91,108,0.18681318681318682,145,126,134,0.06349206349206349,10.344827586206897,8.73015873015873,8.955223880597014,17.24137931034483,19.047619047619047,10.44776119402985
Outros*,1,1,0,1,5,3,3,0,57,31,34,0.09677419354838701,63,35,37,0.05714285714285716,1.5873015873015872,2.857142857142857,0,7.936507936507937,8.571428571428571,8.108108108108109
Total,688,618,642,0.03883495145631066,2383,2302,2500,0.08601216333622941,44934,40114,42873,0.06877897990726423,48005,43034,46015,0.06927080912766659,1.4331840433288199,1.4360738021099597,1.395197218298381,4.964066243099677,5.349258725658782,5.433010974682169
"*Inclui veículos de tração animal, veículos sobre carris, máquinas industriais e não definidos",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
