Quadro 5.10 Passageiros vítimas em Portugal por tipo de via,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo de via,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
AE,23,20,14,-0.30000000000000004,67,55,47,-0.1454545454545455,1140,994,1032,0.03822937625754519,1230,1069,1093,0.022450888681010195
Arruamento,61,27,22,-0.18518518518518523,136,123,106,-0.1382113821138211,5624,4190,4415,0.05369928400954649,5821,4340,4543,0.04677419354838719
EM,8,8,5,-0.375,36,24,21,-0.125,448,331,381,0.1510574018126889,492,363,407,0.1212121212121211
EN,35,32,33,0.03125,111,157,131,-0.16560509554140124,2374,1993,2275,0.14149523331660818,2520,2182,2439,0.11778185151237386
ER,3,2,7,2.5,6,8,10,0.25,140,144,167,0.15972222222222232,149,154,184,0.19480519480519476
IC,6,8,9,0.125,24,22,13,-0.40909090909090906,389,366,340,-0.07103825136612019,419,396,362,-0.08585858585858586
IP,5,5,5,0,12,4,8,1,123,111,87,-0.21621621621621623,140,120,100,-0.16666666666666663
Outras vias*,4,5,10,1,26,21,30,0.4285714285714286,429,444,504,0.1351351351351351,459,470,544,0.1574468085106382
Total,145,107,105,-0.01869158878504673,418,414,366,-0.1159420289855072,10667,8573,9201,0.07325323690656704,11230,9094,9672,0.06355839014734999
"*Inclui acessos, estradas florestais, pontes, variantes e não definidas",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
