,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 18. Sinistralidade no Continente por categoria de veículo,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro-dezembro,Veículos Intervenientes,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,2022,2023,∆(%) 23/19,∆(%) 23/22,,,,,,,,,,,,,,,,,,,,,
Veículos ligeiros,43934,38290,40663,-0.07445258797286836,0.06197440585009151,,,,,,,,,,,,,,,,,,,,,
Veículos pesados,1620,1453,1533,-0.0537037037037037,0.055058499655884274,,,,,,,,,,,,,,,,,,,,,
Ciclomotores,2378,1797,1784,-0.24978973927670312,-0.0072342793544797335,,,,,,,,,,,,,,,,,,,,,
Motociclos,7101,7675,8936,0.2584143078439656,0.16429967426710101,,,,,,,,,,,,,,,,,,,,,
Velocípedes,2344,2995,3239,0.381825938566553,0.08146911519198663,,,,,,,,,,,,,,,,,,,,,
Veículos agrícolas,212,167,189,-0.10849056603773588,0.1317365269461077,,,,,,,,,,,,,,,,,,,,,
Outros,711,669,697,-0.019690576652601988,0.041853512705530616,,,,,,,,,,,,,,,,,,,,,
Total,58300,53046,57041,-0.021595197255574572,0.07531199336424987,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
