,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 6. Sinistralidade no Continente por dia da semana,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro-dezembro,AcV,,,VM,,,FG,,,FL,,,,,,,,,,,,,,,,
,2022,2023,∆(%) 23/22,2022,2023,∆(%) 23/22,2022,2023,∆(%) 23/22,2022,2023,∆(%) 23/22,,,,,,,,,,,,,,
2.ª feira,4754,5070,0.06647034076567104,64,57,-0.109375,262,317,0.20992366412213737,5528,5840,0.05643994211287984,,,,,,,,,,,,,,
3.ª feira,4629,4923,0.06351263771872984,48,43,-0.10416666666666663,286,288,0.006993006993007089,5381,5743,0.06727374094034566,,,,,,,,,,,,,,
4.ª feira,4723,4988,0.056108405674359485,47,44,-0.06382978723404253,275,314,0.14181818181818184,5534,5787,0.045717383447777316,,,,,,,,,,,,,,
5.ª feira,4701,5013,0.06636885768985312,51,63,0.23529411764705888,255,289,0.1333333333333333,5448,5916,0.08590308370044042,,,,,,,,,,,,,,
6.ª feira,5200,5567,0.07057692307692309,80,69,-0.13749999999999996,338,327,-0.03254437869822491,6057,6520,0.07644048208684162,,,,,,,,,,,,,,
Sábado,4657,4913,0.05497101138071714,78,96,0.23076923076923084,418,465,0.1124401913875599,5512,5859,0.06295355587808427,,,,,,,,,,,,,,
Domingo,4124,4500,0.09117361784675082,94,95,0.010638297872340496,409,437,0.06845965770171158,4996,5393,0.07946357085668532,,,,,,,,,,,,,,
Total,32788,34974,0.06667073319507133,462,467,0.010822510822510845,2243,2437,0.08649130628622381,38456,41058,0.0676617432910338,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
