Quadro 6.4 Condutores vítimas em Portugal por dia da semana,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dia da semana,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
2.ª feira,51,55,51,-0.07272727272727275,160,182,229,0.2582417582417582,4140,3915,4244,0.08403575989782897,4351,4152,4524,0.08959537572254339
3.ª feira,46,43,42,-0.023255813953488413,201,178,217,0.2191011235955056,4225,3869,4121,0.06513310933057648,4472,4090,4380,0.07090464547677255
4.ª feira,41,49,40,-0.18367346938775508,169,193,225,0.16580310880829008,4162,3899,4183,0.0728391895357785,4372,4141,4448,0.07413668196087908
5.ª feira,60,52,58,0.11538461538461542,186,182,207,0.13736263736263732,4305,3893,4174,0.07218083740046244,4551,4127,4439,0.07559970923188764
6.ª feira,61,64,62,-0.03125,233,217,236,0.0875576036866359,4476,4284,4652,0.08590102707749758,4770,4565,4950,0.0843373493975903
Sábado,71,69,86,0.24637681159420288,299,296,337,0.1385135135135136,4047,3825,4066,0.06300653594771233,4417,4190,4489,0.07136038186157512
Domingo,73,72,89,0.23611111111111116,267,290,333,0.14827586206896548,3521,3364,3584,0.06539833531510109,3861,3726,4006,0.07514761137949533
Total,403,404,428,0.05940594059405946,1515,1538,1784,0.15994798439531865,28876,27049,29024,0.07301563828607338,30794,28991,31236,0.07743782553206158
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
