Quadro 6.3 Condutores vítimas em Portugal por mês,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mês,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Jan,38,28,33,0.1785714285714286,90,109,107,-0.01834862385321101,2198,1799,2109,0.1723179544191218,2326,1936,2249,0.16167355371900816
Fev,33,24,29,0.20833333333333326,86,106,121,0.14150943396226423,1910,1801,1881,0.04441976679622428,2029,1931,2031,0.05178663904712577
Mar,28,28,23,-0.1785714285714286,117,109,127,0.16513761467889898,2262,1915,2213,0.15561357702349876,2407,2052,2363,0.15155945419103323
Abr,28,22,48,1.1818181818181817,114,131,162,0.23664122137404586,2218,2105,2406,0.14299287410926365,2360,2258,2616,0.15854738706820193
Mai,36,49,32,-0.34693877551020413,145,164,150,-0.08536585365853655,2554,2532,2545,0.005134281200631863,2735,2745,2727,-0.006557377049180357
Jun,31,38,45,0.18421052631578938,134,132,191,0.446969696969697,2363,2354,2591,0.100679694137638,2528,2524,2827,0.1200475435816164
Jul,32,39,42,0.07692307692307687,152,171,211,0.23391812865497075,2799,2743,2905,0.05905942398833397,2983,2953,3158,0.06942092786996268
Ago,46,49,43,-0.12244897959183676,186,165,202,0.22424242424242413,2723,2654,2888,0.08816880180859088,2955,2868,3133,0.0923988842398884
Set,39,36,35,-0.02777777777777779,134,146,152,0.041095890410958846,2502,2525,2572,0.01861386138613863,2675,2707,2759,0.01920945696342824
Out,26,32,38,0.1875,129,117,126,0.07692307692307687,2724,2419,2459,0.016535758577924664,2879,2568,2623,0.02141744548286595
Nov,34,23,27,0.17391304347826098,113,95,109,0.1473684210526316,2335,2207,2284,0.03488898957861353,2482,2325,2420,0.04086021505376336
Dez,32,36,33,-0.08333333333333337,115,93,126,0.35483870967741926,2288,1995,2171,0.0882205513784462,2435,2124,2330,0.09698681732580039
Total,403,404,428,0.05940594059405946,1515,1538,1784,0.15994798439531865,28876,27049,29024,0.07301563828607338,30794,28991,31236,0.07743782553206158
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
