Quadro 1.6 Sinistralidade em Portugal por natureza do acidente,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Natureza,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Atropelamento,5565,4682,4873,0.04079453225117469,134,105,106,0.00952380952380949,427,346,346,0,5513,4597,4787,0.04133130302371102
Colisão,19518,17722,19238,0.08554339239363506,265,254,260,0.023622047244094446,1012,996,1152,0.15662650602409633,25880,22622,24565,0.085889841746972
Despiste,12168,11872,12484,0.051549865229110425,289,259,276,0.06563706563706573,944,960,1002,0.043749999999999956,13541,12895,13521,0.04854594804187662
Total,37251,34276,36595,0.0676566693896603,688,618,642,0.03883495145631066,2383,2302,2500,0.08601216333622941,44934,40114,42873,0.06877897990726423
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
