Quadro 5.3 Passageiros vítimas em Portugal por mês,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mês,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Jan,11,14,8,-0.4285714285714286,20,40,31,-0.22499999999999998,804,504,675,0.3392857142857142,835,558,714,0.27956989247311825
Fev,6,7,9,0.2857142857142858,20,22,15,-0.31818181818181823,637,543,575,0.058931860036832484,663,572,599,0.0472027972027973
Mar,5,10,6,-0.4,33,33,22,-0.33333333333333337,866,594,655,0.10269360269360273,904,637,683,0.07221350078492939
Abr,35,3,13,3.333333333333333,39,31,39,0.25806451612903225,859,681,766,0.12481644640234957,933,715,818,0.14405594405594413
Mai,12,11,2,-0.8181818181818181,31,53,21,-0.6037735849056604,830,714,716,0.0028011204481792618,873,778,739,-0.050128534704370176
Jun,7,7,5,-0.2857142857142857,39,33,29,-0.12121212121212122,877,732,743,0.015027322404371546,923,772,777,0.006476683937823857
Jul,10,9,16,0.7777777777777777,43,39,39,0,962,873,973,0.11454753722794964,1015,921,1028,0.11617806731813252
Ago,16,14,16,0.1428571428571428,70,52,55,0.05769230769230771,1212,1106,1029,-0.069620253164557,1298,1172,1100,-0.061433447098976135
Set,18,8,16,1,41,39,33,-0.15384615384615385,982,779,831,0.06675224646983313,1041,826,880,0.06537530266343827
Out,14,9,3,-0.6666666666666667,25,24,25,0.04166666666666674,859,711,769,0.08157524613220812,898,744,797,0.071236559139785
Nov,7,7,2,-0.7142857142857143,25,21,23,0.09523809523809534,898,665,726,0.09172932330827077,930,693,751,0.0836940836940836
Dez,4,8,9,0.125,32,27,34,0.2592592592592593,881,671,743,0.10730253353204167,917,706,786,0.11331444759206799
Total,145,107,105,-0.01869158878504673,418,414,366,-0.1159420289855072,10667,8573,9201,0.07325323690656704,11230,9094,9672,0.06355839014734999
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
