Quadro 6.5 Condutores vítimas em Portugal por período horário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Período horário,VM,,,,FG,,,,FL,,,,Total de condutores vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
[00:00-03:00[,27,30,33,0.10000000000000009,108,86,98,0.13953488372093026,1060,966,985,0.019668737060041463,1195,1082,1116,0.031423290203327126
[03:00-06:00[,16,20,22,0.10000000000000009,64,75,76,0.01333333333333342,606,641,606,-0.0546021840873635,686,736,704,-0.04347826086956519
[06:00-09:00[,40,45,46,0.022222222222222143,136,173,160,-0.07514450867052025,3372,3112,3319,0.06651670951156818,3548,3330,3525,0.05855855855855863
[09:00-12:00[,47,56,54,-0.0357142857142857,191,176,206,0.17045454545454541,4705,4315,4766,0.10451911935110081,4943,4547,5026,0.10534418297778747
[12:00-15:00[,50,62,62,0,209,218,319,0.463302752293578,5267,5039,5360,0.06370311569755893,5526,5319,5741,0.0793382214702012
[15:00-18:00[,82,77,74,-0.038961038961038974,300,324,407,0.25617283950617287,5904,5570,6273,0.1262118491921005,6286,5971,6754,0.13113381343158603
[18:00-21:00[,91,75,99,0.32000000000000006,327,323,360,0.11455108359133126,5523,5185,5528,0.06615236258437807,5941,5583,5987,0.07236252910621532
[21:00-00:00[,50,39,38,-0.02564102564102566,180,163,158,-0.030674846625766916,2439,2221,2187,-0.015308419630796988,2669,2423,2383,-0.016508460586050377
Total,403,404,428,0.05940594059405946,1515,1538,1784,0.15994798439531865,28876,27049,29024,0.07301563828607338,30794,28991,31236,0.07743782553206158
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
