Quadro 1.10 Sinistralidade em Portugal por distrito e R.A.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Distrito e R.A.,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Aveiro,2815,2646,2868,0.08390022675736963,42,40,44,0.10000000000000009,135,170,189,0.11176470588235299,3362,3127,3339,0.06779661016949157
Beja,468,455,486,0.06813186813186811,37,22,28,0.2727272727272727,68,63,83,0.31746031746031744,566,527,570,0.0815939278937381
Braga,3180,2995,3291,0.09883138564273786,45,42,50,0.19047619047619047,153,128,181,0.4140625,3988,3618,3951,0.09203980099502496
Bragança,412,377,394,0.04509283819628651,8,11,7,-0.36363636363636365,48,51,47,-0.07843137254901966,488,433,472,0.09006928406466508
C. Branco,527,517,565,0.09284332688588015,14,14,24,0.7142857142857142,66,42,72,0.7142857142857142,628,611,660,0.08019639934533562
Coimbra,1624,1652,1602,-0.030266343825665842,40,34,36,0.05882352941176472,79,93,83,-0.10752688172043012,1952,1931,1856,-0.03883997928534433
Évora,444,441,458,0.038548752834467015,17,19,12,-0.368421052631579,71,53,76,0.4339622641509433,545,500,532,0.06400000000000006
Faro,2154,2035,2149,0.05601965601965597,44,45,43,-0.0444444444444444,214,167,184,0.10179640718562877,2449,2289,2401,0.04892966360856277
Guarda,433,420,440,0.04761904761904767,19,12,15,0.25,58,55,50,-0.09090909090909094,509,497,527,0.06036217303822933
Leiria,1822,1626,1802,0.1082410824108242,45,43,38,-0.11627906976744184,123,112,151,0.3482142857142858,2132,1908,2117,0.10953878406708606
Lisboa,8232,6835,7248,0.060424286759326984,76,75,60,-0.19999999999999996,337,282,298,0.05673758865248235,9820,7936,8460,0.06602822580645151
Portalegre,303,284,331,0.16549295774647876,17,13,19,0.46153846153846145,52,59,41,-0.30508474576271183,365,314,389,0.23885350318471343
Porto,6245,5719,6107,0.06784402867634198,79,54,61,0.12962962962962954,205,221,216,-0.022624434389140302,7738,6726,7261,0.07954207552780246
Santarém,1612,1459,1592,0.09115832762165876,41,37,45,0.21621621621621623,211,221,216,-0.022624434389140302,1953,1693,1789,0.05670407560543422
Setúbal,2605,2526,2775,0.09857482185273159,32,55,59,0.07272727272727275,159,200,192,-0.040000000000000036,3183,2987,3332,0.11550050217609642
V. Castelo,859,829,843,0.016887816646562026,18,18,22,0.22222222222222232,53,64,70,0.09375,1038,1007,1002,-0.0049652432969214955
Vila Real,654,665,665,0,14,22,24,0.09090909090909083,46,56,60,0.0714285714285714,863,808,777,-0.0383663366336634
Viseu,1315,1307,1358,0.039020657995409325,38,35,26,-0.2571428571428571,90,87,99,0.13793103448275867,1604,1534,1606,0.046936114732724965
R.A. Açores,611,613,620,0.011419249592169667,21,14,18,0.2857142857142858,106,106,95,-0.10377358490566035,686,683,708,0.03660322108345526
R.A. Madeira,936,875,1001,0.1439999999999999,41,13,11,-0.15384615384615385,109,72,97,0.3472222222222223,1065,985,1124,0.14111675126903545
Total,37251,34276,36595,0.0676566693896603,688,618,642,0.03883495145631066,2383,2302,2500,0.08601216333622941,44934,40114,42873,0.06877897990726423
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
