,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quadro 2. Sinistralidade em Portugal, 2023 vs 2022",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Janeiro-dezembro,AcV,,,VM,,,FG,,,FL,,,,,,,,,,,,,,,,
,2022,2023,∆(%) 23/22,2022,2023,∆(%) 23/22,2022,2023,∆(%) 23/22,2022,2023,∆(%) 23/22,,,,,,,,,,,,,,
Continente,32788,34974,0.06667073319507133,462,467,0.010822510822510845,2243,2437,0.08649130628622381,38456,41058,0.0676617432910338,,,,,,,,,,,,,,
RA Açores,613,620,0.011419249592169667,6,3,-0.5,114,110,-0.03508771929824561,683,708,0.03660322108345526,,,,,,,,,,,,,,
RA Madeira,875,1001,0.1439999999999999,5,9,0.8,80,99,0.23750000000000004,985,1124,0.14111675126903545,,,,,,,,,,,,,,
Total,34276,36595,0.0676566693896603,473,479,0.012684989429175397,2437,2646,0.0857611817808781,40124,42890,0.06893629747781871,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
