Quadro 1.1 Sinistralidade em Portugal por mês,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mês,AcV,,,,VM,,,,FG,,,,FL,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
Jan,2953,2334,2780,0.19108826049700078,68,51,57,0.11764705882352944,155,175,177,0.011428571428571344,3515,2654,3252,0.22532027128862087
Fev,2470,2311,2423,0.04846386845521411,48,37,46,0.2432432432432432,140,152,161,0.05921052631578938,2937,2656,2795,0.05233433734939763
Mar,2998,2460,2800,0.1382113821138211,46,42,43,0.023809523809523725,202,163,174,0.06748466257668717,3603,2869,3248,0.132101777622865
Abr,2791,2648,2960,0.1178247734138973,71,34,67,0.9705882352941178,175,179,222,0.24022346368715075,3429,3108,3492,0.12355212355212353
Mai,3219,3101,3157,0.018058690744920947,55,67,42,-0.3731343283582089,211,244,198,-0.1885245901639344,3850,3614,3623,0.0024903154399558147
Jun,2978,2876,3193,0.11022253129346304,48,49,54,0.1020408163265305,211,187,245,0.31016042780748654,3613,3391,3686,0.08699498672957828
Jul,3397,3418,3525,0.031304856641310774,49,55,66,0.19999999999999996,221,247,274,0.10931174089068829,4147,4002,4226,0.055972013993003555
Ago,3448,3342,3544,0.06044284859365656,75,76,64,-0.1578947368421053,297,253,285,0.1264822134387351,4303,4092,4247,0.037878787878787845
Set,3216,3180,3229,0.015408805031446482,65,53,67,0.26415094339622636,226,216,210,-0.02777777777777779,3887,3718,3811,0.025013448090371204
Out,3445,3035,3140,0.034596375617792496,56,52,55,0.05769230769230771,189,177,187,0.05649717514124286,4095,3524,3638,0.03234960272417697
Nov,3203,2888,2974,0.029778393351800547,54,45,29,-0.3555555555555555,180,152,173,0.13815789473684204,3814,3358,3487,0.03841572364502688
Dez,3133,2683,2870,0.06969809914275071,53,57,52,-0.08771929824561409,176,157,194,0.23566878980891715,3741,3128,3368,0.07672634271099743
Total,37251,34276,36595,0.0676566693896603,688,618,642,0.03883495145631066,2383,2302,2500,0.08601216333622941,44934,40114,42873,0.06877897990726423
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
