Quadro 5.5 Passageiros vítimas em Portugal por período horário,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Período horário,VM,,,,FG,,,,FL,,,,Total de passageiros vítimas,,,
,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22,2019,2022,2023,∆(%) 23/22
[00:00-03:00[,9,12,8,-0.33333333333333337,40,26,34,0.3076923076923077,512,425,477,0.12235294117647055,561,463,519,0.12095032397408212
[03:00-06:00[,8,12,13,0.08333333333333326,27,34,27,-0.20588235294117652,295,262,275,0.04961832061068705,330,308,315,0.022727272727272707
[06:00-09:00[,10,20,12,-0.4,35,43,33,-0.2325581395348837,1042,827,842,0.018137847642079707,1087,890,887,-0.003370786516853963
[09:00-12:00[,15,11,8,-0.2727272727272727,35,42,36,-0.1428571428571429,1424,1135,1264,0.11365638766519814,1474,1188,1308,0.101010101010101
[12:00-15:00[,14,17,19,0.11764705882352944,54,51,49,-0.039215686274509776,1809,1434,1588,0.10739191073919097,1877,1502,1656,0.10252996005326231
[15:00-18:00[,31,20,19,-0.050000000000000044,87,89,85,-0.0449438202247191,2509,1907,2250,0.1798636601992658,2627,2016,2354,0.16765873015873023
[18:00-21:00[,45,9,18,1,78,88,64,-0.2727272727272727,2091,1769,1737,-0.018089315997738886,2214,1866,1819,-0.02518756698821012
[21:00-00:00[,13,6,8,0.33333333333333326,62,41,38,-0.07317073170731703,985,814,768,-0.05651105651105648,1060,861,814,-0.05458768873403019
Total,145,107,105,-0.01869158878504673,418,414,366,-0.1159420289855072,10667,8573,9201,0.07325323690656704,11230,9094,9672,0.06355839014734999
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
