,,FERIDOS GRAVES,,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,N.D.,TOTAL
Peões,2012,56,23,18,15,14,20,19,28,20,30,27,127,-,397
,2013,48,18,19,12,9,28,26,20,22,34,34,161,-,431
,13-12,-8,-5,1,-3,-5,8,7,-8,2,4,7,34,-,34
Veíc. Ligeiros *,2012,34,69,128,84,91,77,65,67,57,41,40,150,0,903
,2013,27,48,122,106,81,75,58,63,53,63,33,140,2,871
,13-12,-7,-21,-6,22,-10,-2,-7,-4,-4,22,-7,-10,2,-32
Veíc. Pesados *,2012,1,1,-,1,4,7,3,3,6,0,1,3,-,30
,2013,0,1,-,2,1,4,6,7,6,6,3,4,-,40
,13-12,-1,0,-,1,-3,-3,3,4,0,6,2,1,-,10
Velocípedes *,2012,16,7,8,5,3,7,5,9,6,5,1,8,-,80
,2013,9,7,5,4,7,6,8,4,7,6,4,13,-,80
,13-12,-7,0,-3,-1,4,-1,3,-5,1,1,3,5,-,0
Ciclomotores *,2012,2,14,15,13,10,11,7,10,14,18,6,34,-,154
,2013,0,18,13,9,7,13,24,22,18,13,10,33,-,180
,13-12,-2,4,-2,-4,-3,2,17,12,4,-5,4,-1,-,26
Motociclos *,2012,2,26,33,46,47,43,27,26,20,10,7,7,1,295
,2013,1,27,30,36,46,49,27,19,20,12,6,4,0,277
,13-12,-1,1,-3,-10,-1,6,0,-7,0,2,-1,-3,-1,-18
Outros,2012,0,3,11,5,6,3,5,7,6,7,8,20,0,81
,2013,5,4,5,5,5,3,4,4,5,4,2,19,1,66
,13-12,5,1,-6,0,-1,0,-1,-3,-1,-3,-6,-1,1,-15
N.D.,2012,-,-,-,1,0,-,-,-,-,-,-,-,-,1
,2013,-,-,-,0,1,-,-,-,-,-,-,-,-,1
,13-12,-,-,-,-1,1,-,-,-,-,-,-,-,-,0
TOTAL,2012,111,143,213,170,175,168,131,150,129,111,90,349,1,1941
,2013,90,123,194,174,157,178,153,139,131,138,92,374,3,1946
,13-12,-21,-20,-19,4,-18,10,22,-11,2,27,2,25,2,5
