,<=4 anos,,5 a 9 anos,,10 a 14 anos,,15 a 19 anos,,>=20 anos,,N.D.,,TOTAL,
,2012,2013,2012,2013,2012,2013,2012,2013,2012,2013,2012,2013,2012,2013
Veíc. Ligeiros,6283,5362,9059,9374,11153,10492,7191,8008,3333,4232,550,627,37569,38095
Veíc. Pesados,308,266,450,515,497,481,203,208,144,155,32,35,1634,1660
Ciclomotores,873,678,639,948,326,279,282,333,462,446,63,53,2645,2737
Motociclos,1337,1326,795,790,708,665,431,440,318,344,71,53,3660,3618
TOTAL,8801,7632,10943,11627,12684,11917,8107,8989,4257,5177,716,768,45508,46110
