,,VÍTIMAS MORTAIS,,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,N.D.,TOTAL
Peões,2012,4,1,4,5,6,5,6,6,13,10,16,82,1,159
,2013,7,4,4,3,3,2,6,9,7,9,12,76,2,144
,13-12,3,3,0,-2,-3,-3,0,3,-6,-1,-4,-6,1,-15
Veíc. Ligeiros *,2012,7,8,38,26,27,27,18,21,24,24,14,67,2,303
,2013,2,9,30,20,22,23,23,21,16,25,19,66,0,276
,13-12,-5,1,-8,-6,-5,-4,5,0,-8,1,5,-1,-2,-27
Veíc. Pesados *,2012,-,1,-,-,0,2,4,6,1,5,1,1,-,21
,2013,-,0,-,-,3,4,0,1,6,2,6,7,-,29
,13-12,-,-1,-,-,3,2,-4,-5,5,-3,5,6,-,8
Velocípedes *,2012,1,2,1,1,2,7,2,2,2,1,3,6,2,32
,2013,0,0,3,1,1,0,4,3,3,4,1,8,1,29
,13-12,-1,-2,2,0,-1,-7,2,1,1,3,-2,2,-1,-3
Ciclomotores *,2012,-,4,0,2,4,5,4,7,5,6,2,17,1,57
,2013,-,2,6,0,0,1,3,6,5,4,7,17,0,51
,13-12,-,-2,6,-2,-4,-4,-1,-1,0,-2,5,0,-1,-6
Motociclos *,2012,1,3,9,18,22,12,14,6,9,8,1,1,-,104
,2013,1,5,8,8,14,11,9,8,5,3,1,5,-,78
,13-12,0,2,-1,-10,-8,-1,-5,2,-4,-5,0,4,-,-26
Outros,2012,0,0,4,2,0,0,0,4,4,3,3,21,-,41
,2013,1,1,1,1,1,3,1,0,2,1,4,14,-,30
,13-12,1,1,-3,-1,1,3,1,-4,-2,-2,1,-7,-,-11
N.D.,2012,-,-,-,1,-,-,-,-,-,-,-,-,-,1
,2013,-,-,-,0,-,-,-,-,-,-,-,-,-,0
,13-12,-,-,-,-1,-,-,-,-,-,-,-,-,-,-1
TOTAL,2012,13,19,56,55,61,58,48,52,58,57,40,195,6,718
,2013,11,21,52,33,44,44,46,48,44,48,50,193,3,637
,13-12,-2,2,-4,-22,-17,-14,-2,-4,-14,-9,10,-2,-3,-81
