,FERIDOS LEVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,
<=14,23,18,132,143,0,0,155,161
15-19,297,254,893,896,0,0,1190,1150
20-24,951,911,1530,1503,2,2,2483,2416
25-29,889,973,1531,1452,2,0,2422,2425
30-34,1018,984,1515,1525,2,4,2535,2513
35-39,991,1037,1613,1631,1,1,2605,2669
40-44,806,888,1365,1391,2,1,2173,2280
45-49,707,725,1242,1205,0,1,1949,1931
50-54,531,588,1032,1132,2,3,1565,1723
55-59,420,400,934,917,0,4,1354,1321
60-64,283,293,759,807,0,1,1042,1101
65-69,182,209,624,670,0,1,806,880
70-74,83,105,607,589,1,0,691,694
>=75,72,97,895,973,1,3,968,1073
N.D.,0,4,8,11,5,6,13,21
TOTAL,7253,7486,14680,14845,18,27,21951,22358
