,,"Atropelamento
2012","Atropelamento
2013","Colisão
2012","Colisão
2013","Despiste
2012","Despiste
2013","Total
veículos (V)
2012","Total
veículos (V)
2013","Veículos
circulação
(Vci)","V/1000
Vci
2013"
Veíc. Ligeiros,Passageiros,3387,3784,20309,20606,6089,5873,29785,30263,-,-
,Mercadorias,868,849,4849,4926,1366,1377,7083,7152,-,-
,Outros,58,60,343,289,82,86,483,435,-,-
,N.D.,99,103,105,120,14,22,218,245,-,-
,Total,4412,4796,25606,25941,7551,7358,37569,38095,5440125,7
Veíc. Pesados,Passageiros,106,83,338,323,16,14,460,420,-,-
,Mercadorias,42,44,750,795,142,149,934,988,-,-
,Outros,22,20,164,179,47,45,233,244,-,-
,N.D.,4,0,3,8,0,0,7,8,-,-
,Total,174,147,1255,1305,205,208,1634,1660,134136,12
Velocípedes,,65,66,1235,1420,187,276,1487,1762,-,-
Ciclomotores,,80,76,1655,1643,910,1018,2645,2737,-,-
Motociclos,,124,115,2295,2265,1241,1238,3660,3618,200720,18
Outros,,55,69,392,370,375,244,822,683,-,-
N.D.,,7,17,4,3,1,0,12,20,-,-
TOTAL,,4917,5286,32442,32947,10470,10342,47829,48575,-,-
