,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65
População,1464380,517836,537093,571624,677438,784856,746402,734385,707788,651132,621709,1962006
M/Milhão hab.,8,41,97,58,65,56,62,65,62,74,80,98
