,,TOTAL DE VÍTIMAS,,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,N.D.,TOTAL
Peões,2012,799,407,266,191,200,226,262,324,340,334,380,1507,9,5245
,2013,778,443,295,218,222,240,290,295,352,335,392,1633,6,5499
,13-12,-21,36,29,27,22,14,28,-29,12,1,12,126,-3,254
Veíc. Ligeiros *,2012,1517,1507,3083,2521,2469,2302,1894,1843,1585,1407,1150,2936,32,24246
,2013,1502,1356,3002,2502,2392,2312,2053,1772,1663,1417,1133,3206,54,24364
,13-12,-15,-151,-81,-19,-77,10,159,-71,78,10,-17,270,22,118
Veíc. Pesados *,2012,26,23,25,32,45,75,76,63,75,54,41,62,2,599
,2013,48,21,31,42,49,70,69,63,81,57,56,89,1,677
,13-12,22,-2,6,10,4,-5,-7,0,6,3,15,27,-1,78
Velocípedes *,2012,171,138,88,93,107,128,117,133,113,95,77,172,6,1438
,2013,172,215,107,101,138,166,137,132,118,93,110,215,4,1708
,13-12,1,77,19,8,31,38,20,-1,5,-2,33,43,-2,270
Ciclomotores *,2012,38,329,193,129,142,217,260,287,237,217,166,564,4,2783
,2013,27,307,163,127,149,227,266,297,285,228,201,566,3,2846
,13-12,-11,-22,-30,-2,7,10,6,10,48,11,35,2,-1,63
Motociclos *,2012,31,373,406,550,565,589,436,277,210,140,100,109,3,3789
,2013,39,345,409,548,551,566,423,310,214,137,108,125,2,3777
,13-12,8,-28,3,-2,-14,-23,-13,33,4,-3,8,16,-1,-12
Outros,2012,16,31,57,48,35,34,44,50,56,42,56,247,2,718
,2013,15,27,25,29,22,21,27,39,38,29,28,217,1,518
,13-12,-1,-4,-32,-19,-13,-13,-17,-11,-18,-13,-28,-30,-1,-200
N.D.,2012,-,-,-,2,1,-,1,-,-,1,-,-,-,5
,2013,-,-,-,0,1,-,0,-,-,0,-,-,-,1
,13-12,-,-,-,-2,0,-,-1,-,-,-1,-,-,-,-4
TOTAL,2012,2598,2808,4118,3566,3564,3571,3090,2977,2616,2290,1970,5597,58,38823
,2013,2581,2714,4032,3567,3524,3602,3265,2908,2751,2296,2028,6051,71,39390
,13-12,-17,-94,-86,1,-40,31,175,-69,135,6,58,454,13,567
