,FERIDOS LEVES,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,
<=5,60,53,112,92,0,0,172,145
6-9,73,79,101,128,0,0,174,207
10-14,198,178,195,193,0,0,393,371
15-19,241,259,142,162,0,0,383,421
20-24,144,160,100,112,0,0,244,272
25-29,107,122,64,81,0,0,171,203
30-34,88,121,92,89,0,0,180,210
35-39,116,99,85,111,0,0,201,210
40-44,128,149,109,109,0,0,237,258
45-49,163,159,127,107,0,0,290,266
50-54,178,198,129,125,0,0,307,323
55-59,176,168,118,124,0,0,294,292
60-64,213,220,124,125,0,1,337,346
65-69,173,172,117,120,0,0,290,292
70-74,162,188,144,148,0,0,306,336
>=75,396,427,306,341,0,0,702,768
N.D.,2,2,6,2,0,0,8,4
TOTAL,2618,2754,2071,2169,0,1,4689,4924
