,"Acidentes
com
vítimas",% *,"Acidentes
c/ v.mortais
e/ou f.graves",% *,"Acidentes
com
v.mortais",% *,"Vítimas
mortais",% *,"Feridos
graves",% *,"Feridos
ligeiros",% *,"Total
de
feridos",% *,"Índice
de
grav."
2010,35426,-,2832,-,857,-,937,-,2475,-,43890,-,46365,-,"2,6"
2011,32541,"-8,1",2670,"-5,7",826,"-3,6",891,"-4,9",2265,"-8,5",39695,"-9,6",41960,"-9,5","2,7"
2012,29867,"-8,2",2289,"-14,3",667,"-19,2",718,"-19,4",1941,"-14,3",36164,"-8,9",38105,"-9,1","2,4"
2013,30339,"1,6",2202,"-3,8",585,"-12,3",637,"-11,3",1946,"0,3",36807,"1,8",38753,"1,5","2,1"
