,TOTAL DE VÍTIMAS,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,2012,2013,2012,2013,2012,2013,2012,2013
,,,,,,,,
<=14,26,19,146,150,0,0,172,169
15-19,300,260,963,955,0,0,1263,1215
20-24,971,928,1673,1646,2,3,2646,2577
25-29,907,997,1683,1577,2,0,2592,2574
30-34,1042,1009,1672,1657,2,5,2716,2671
35-39,1016,1060,1764,1762,1,1,2781,2823
40-44,822,907,1476,1509,3,1,2301,2417
45-49,729,740,1357,1309,0,1,2086,2050
50-54,547,606,1139,1234,2,4,1688,1844
55-59,435,412,1031,1017,0,4,1466,1433
60-64,289,307,820,873,0,1,1109,1181
65-69,189,221,693,731,0,1,882,953
70-74,88,111,672,644,2,0,762,755
>=75,77,107,985,1065,2,3,1064,1175
N.D.,0,4,12,13,5,6,17,23
TOTAL,7438,7688,16086,16142,21,30,23545,23860
