,,,,,,,,,,,,,,,,,,,,
Quadro 16. Sinistralidade em Portugal por categoria de utilizador,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Janeiro-setembro,VM,,,FG,,,FL,,,,,,,,,,,,,
,2019,2024,2025,2019,2024,2025,2019,2024,2025,,,,,,,,,,,
Condutores,250,272,254,1211,1424,1531,21537,22533,23430,,,,,,,,,,,
Passageiros,97,47,56,355,323,352,8033,7080,7106,,,,,,,,,,,
Peões,52,53,27,380,342,278,3732,3433,3440,,,,,,,,,,,
Total,399,372,337,1946,2089,2161,33302,33046,33976,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Quadro 17. Sinistralidade em Portugal por categoria de utilizador, taxas de variação",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Janeiro-setembro,VM,,,FG,,,FL,,,,,,,,,,,,,
,∆ (%) ,,,,,,,,,,,,,,,,,,,
,25/19,25/24,,25/19,25/24,,25/19,25/24,,,,,,,,,,,,
Condutores,0.016000000000000014,-0.06617647058823528,,0.264244426094137,0.0751404494382022,,0.08789525003482379,0.0398082811875915,,,,,,,,,,,,
Passageiros,-0.4226804123711341,0.1914893617021276,,-0.008450704225352101,0.08978328173374606,,-0.11539897921075559,0.0036723163841807516,,,,,,,,,,,,
Peões,-0.4807692307692307,-0.49056603773584906,,-0.2684210526315789,-0.1871345029239766,,-0.07824222936763126,0.002039032915817085,,,,,,,,,,,,
Total,-0.15538847117794485,-0.09408602150537637,,0.11048304213771831,0.03446625179511731,,0.020239024683202267,0.02814258911819878,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
