,,,,,,,,,,,,,,,,,,,,,,,,,,
Quadro 4. Sinistralidade em Portugal por mês,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Mês,AcV,,,VM,,,FG,,,FL,,,,,,,,,,,,,,,,
,2019,2024,2025,2019,2024,2025,2019,2024,2025,2019,2024,2025,,,,,,,,,,,,,,
Janeiro,2953,2798,2844,48,35,36,171,196,161,3519,3246,3337,,,,,,,,,,,,,,
Fevereiro,2470,2720,2523,38,36,29,149,181,183,2938,3199,2931,,,,,,,,,,,,,,
Março,2998,2768,2909,34,34,25,213,179,186,3604,3219,3381,,,,,,,,,,,,,,
Abril,2791,3057,3013,60,32,27,186,230,217,3429,3505,3652,,,,,,,,,,,,,,
Maio,3219,3337,3381,47,45,35,218,238,247,3851,3864,3906,,,,,,,,,,,,,,
Junho,2978,3235,3386,33,39,48,224,237,281,3615,3784,3951,,,,,,,,,,,,,,
Julho,3397,3587,3881,36,52,52,233,286,306,4148,4180,4548,,,,,,,,,,,,,,
Agosto,3448,3388,3537,55,50,61,311,285,307,4309,4073,4221,,,,,,,,,,,,,,
Setembro,3216,3366,3501,48,49,24,241,257,273,3889,3976,4049,,,,,,,,,,,,,,
Total,17409,17915,18056,260,221,200,1161,1261,1275,20956,20817,21158,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quadro 5. Sinistralidade em Portugal por mês, taxas de variação",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Mês,AcV,,,VM,,,FG,,,FL,,,,,,,,,,,,,,,,
,∆ (%) ,,,,,,,,,,,,,,,,,,,,,,,,,
,25/19,25/24,,25/19,25/24,,25/19,25/24,,25/19,25/24,,,,,,,,,,,,,,,
Janeiro,-0.036911615306468026,0.01644031451036465,,-0.25,0.02857142857142847,,-0.05847953216374269,-0.1785714285714286,,-0.0517192384200057,0.02803450400492924,,,,,,,,,,,,,,,
Fevereiro,0.021457489878542457,-0.07242647058823526,,-0.23684210526315785,-0.19444444444444442,,0.22818791946308714,0.011049723756906049,,-0.0023825731790333426,-0.08377618005626764,,,,,,,,,,,,,,,
Março,-0.02968645763842559,0.0509393063583814,,-0.2647058823529411,-0.2647058823529411,,-0.12676056338028174,0.03910614525139655,,-0.06187569367369594,0.05032618825722279,,,,,,,,,,,,,,,
Abril,0.07954138301683988,-0.01439319594373567,,-0.55,-0.15625,,0.16666666666666674,-0.05652173913043479,,0.06503353747448237,0.041940085592011345,,,,,,,,,,,,,,,
Maio,0.05032618825722279,0.013185495954450177,,-0.25531914893617025,-0.2222222222222222,,0.1330275229357798,0.037815126050420256,,0.01428200467411056,0.010869565217391353,,,,,,,,,,,,,,,
Junho,0.13700470114170593,0.046676970633694026,,0.4545454545454546,0.23076923076923084,,0.2544642857142858,0.18565400843881852,,0.0929460580912862,0.04413319238900626,,,,,,,,,,,,,,,
Julho,0.1424786576390933,0.08196264287705612,,0.4444444444444444,0,,0.3133047210300428,0.06993006993007,,0.0964320154291225,0.0880382775119617,,,,,,,,,,,,,,,
Agosto,0.025812064965197168,0.04397874852420314,,0.10909090909090913,0.21999999999999997,,-0.012861736334405127,0.07719298245614037,,-0.020422371779995396,0.036336852442916845,,,,,,,,,,,,,,,
Setembro,0.08861940298507465,0.04010695187165769,,-0.5,-0.5102040816326531,,0.13278008298755184,0.0622568093385214,,0.04114168166623822,0.018360160965794847,,,,,,,,,,,,,,,
Total,0.03716468493308067,0.007870499581356327,,-0.23076923076923073,-0.09502262443438914,,0.09819121447028434,0.011102299762093537,,0.009639244130559277,0.016380842580583144,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
