,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2007 2008,2007 2008,2007 2008,2007 2008
"Dentro das localidades
Segunda-feira
Terça-feira
Quarta-feira
Quinta-feira
Sexta-feira
Sábado
Domingo","87 90
10 12
8 11
13 15
13 20
16 17
13 7
14 8","535 477
69 58
76 79
82 73
85 86
95 82
70 54
58 45","5328 4944
811 786
839 763
824 780
817 783
952 860
632 589
453 383","5950 5511
890 856
923 853
919 868
915 889
1063 959
715 650
525 436"
"Fora das localidades
Segunda-feira
Terça-feira
Quarta-feira
Quinta-feira
Sexta-feira
Sábado
Domingo","50 46
5 2
8 13
7 4
6 9
5 6
5 6
14 6","84 52
8 6
13 9
11 4
7 10
15 5
15 7
15 11","242 203
26 28
22 23
37 22
49 38
34 40
34 26
40 26","376 301
39 36
43 45
55 30
62 57
54 51
54 39
69 43"
"Total
Segunda-feira
Terça-feira
Quarta-feira
Quinta-feira
Sexta-feira
Sábado
Domingo","137 136
15 14
16 24
20 19
19 29
21 23
18 13
28 14","619 529
77 64
89 88
93 77
92 96
110 87
85 61
73 56","5570 5147
837 814
861 786
861 802
866 821
986 900
666 615
493 409","6326 5812
929 892
966 898
974 898
977 946
1117 1010
769 689
594 479"
