,39%,,,,,,,,,,
,,,71%,,53%,,75%,,44%,,76%
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,61%,,,,47%,,,,56%,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,29%,,,,25%,,,,24%
