2008: Vítimas mortais / 1 milhão habitantes,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,120,,,,,,,,,,,,,,,,,,,,,,,
,,,,,101,93 91,,,,,,,,,,,,,,,,,,,103,
,,,,,,,,,,,,,,,,,,,,,93,,91,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,88,,88,72 72,,,,,86,77,,,84,,,,,,,
,,,,,,,,,,,,,,,,,77,,,,,,,,,
,,,,,,,,,,,72,,72,,,,,,,,,,,,,
,64,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 9 4 9 4 9 4 9 4 9 4 9 4 5
1 1 2 2 3 3 4 4 5 5 6 6 7 7
= - - - - - - - - - - - - =
< 5 0 5 0 5 0 5 0 5 0 5 0 >
1 2 2 3 3 4 4 5 5 6 6 7",,,,,,,,,,,,,,,,,,,,,,,,,,
