,Vítimas mortais,Feridos graves,Feridos leves,"Total condutores
vítimas","Total condutores
intervenientes"
,2007 2008,2007 2008,2007 2008,2007 2008,2007 2008
"< 1 ano
1 a 5 anos
6 a 10 anos
11 a 20 anos
>= 20 anos
Não definido","11 13
108 84
89 75
114 115
123 120
11 14","69 47
387 306
315 249
378 316
306 288
21 32","932 905
5874 5406
4975 4714
6039 6120
4914 4949
197 192","1012 965
6369 5796
5379 5038
6531 6551
5343 5357
229 238","1852 1721
12652 11333
10533 9729
14595 14338
12788 12696
1560 1486"
Total(1),456 421,1476 1238,22931 22286,24863 23945,53980 51303
