,Feminino,Masculino,Total(1)
,2007 2008,2007 2008,2007 2008
"Vítimas mortais
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","44 45
1 1
0 1
2 1
0 1
1 1
0 3
1 0
3 0
1 2
3 2
0 0
2 2
2 6
4 8
6 4
18 13
0 0","93 91
2 2
2 1
0 1
0 1
1 1
4 0
9 3
8 5
5 12
3 8
5 8
2 7
9 7
8 7
13 9
20 17
2 2","137 136
3 3
2 2
2 2
0 2
2 2
4 3
10 3
11 5
6 14
6 10
5 8
4 9
11 13
12 15
19 13
38 30
2 2"
"Feridos Graves
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","279 239
14 8
7 10
19 18
11 20
10 6
11 8
7 11
17 4
13 16
16 8
17 7
14 14
20 20
17 16
31 25
54 48
1 0","340 290
17 20
23 17
20 23
10 12
10 8
13 9
20 11
16 15
26 15
18 20
17 22
23 20
21 16
24 18
26 14
55 50
1 0","619 529
31 28
30 27
39 41
21 32
20 14
24 17
27 22
33 19
39 31
34 28
34 29
37 34
41 36
41 34
57 39
109 98
2 0"
