,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2007 2008,2007 2008,2007 2008,2007 2008
"Dia
Noite
Aurora ou crepúsculo","85 89
91 57
10 2","389 343
305 227
31 17","8472 8042
3705 3588
385 384","8946 8474
4101 3872
426 403"
Total(1),186 148,725 587,12588 12025,13499 12760
