,Vítimas mortais,Feridos graves,Feridos leves,"Total condutores
vítimas","Total condutores
intervenientes"
,2007 2008,2007 2008,2007 2008,2007 2008,2007 2008
"Adequada ao veículo
Não adequada
Em instrução/exame
Caducada/suspensa
Sem licença/carta
Não necessária
Não definido","440 402
11 12
1 1
3 5
43 34
31 36
2 2","1433 1196
36 30
1 0
5 9
199 155
96 98
2 2","22500 21942
311 264
19 13
86 44
868 721
1225 1123
35 48","24373 23540
358 306
21 14
94 58
1110 910
1352 1257
39 52","52023 49532
684 619
26 19
121 78
1371 1122
1411 1329
1155 1104"
Total,531 492,1772 1490,25044 24155,27347 26137,56791 53803
