,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2007 2008,2007 2008,2007 2008,2007 2008
"00-03
03-06
06-09
09-12
12-15
15-18
18-21
21-24","43 43
46 39
60 57
57 49
64 64
89 78
98 94
74 68","166 110
101 85
187 134
180 158
261 250
308 276
351 312
218 165","1264 1142
870 743
2914 2947
3983 3777
4174 4138
4793 4687
4767 4532
2279 2189","1473 1295
1017 867
3161 3138
4220 3984
4499 4452
5190 5041
5216 4938
2571 2422"
Total,531 492,1772 1490,25044 24155,27347 26137
