,Feminino,Masculino,Total(1),População*,"Total cond./
1000 hab."
,2007 2008,2007 2008,2007 2008,,
"<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","52 38
457 443
1936 1872
2207 2129
2226 2306
1857 1828
1657 1593
1234 1313
930 906
623 649
387 392
202 234
115 128
103 105
36 28","271 198
2030 1809
4912 4492
5178 4692
5046 4814
4274 4057
3917 3639
3490 3359
3017 2880
2565 2444
2005 2004
1657 1542
1297 1238
1329 1384
188 158","326 238
2504 2257
6899 6385
7456 6840
7342 7133
6203 5905
5628 5246
4777 4682
3981 3794
3218 3098
2409 2398
1873 1779
1427 1370
1449 1489
1299 1189","1538369
548602
614959
735506
810414
763097
749307
721442
664051
634167
559622
496124
473288
817932
-","0
4
10
9
9
8
7
6
6
5
4
4
3
2
-"
Total,14022 13964,41176 38710,56791 53803,10126880,5
