,"Acidentes c/
vítimas","Vítimas
mortais",Feridos graves,Feridos leves,"Total de
vítimas","Índice de
gravidade"
,2007 2008,2007 2008,2007 2008,2007 2008,2007 2008,2007 2008
"Jan
Fev
Mar
Abr
Mai
Jun
Jul
Ago
Set
Out
Nov
Dez","2589 2488
2512 2530
2826 2660
2839 2702
2942 2628
3032 2707
3423 2995
3203 2996
2891 2864
3131 3160
3053 2980
2870 2903","70 51
59 53
80 64
56 69
57 55
62 56
79 62
85 90
74 71
74 51
95 85
63 69","194 185
205 189
288 212
262 218
263 166
262 213
303 245
307 269
229 209
306 234
256 253
241 213","3101 2998
3049 3088
3348 3214
3444 3332
3548 3287
3725 3309
4294 3743
4091 3823
3610 3470
3657 3847
3763 3593
3572 3623","3365 3234
3313 3330
3716 3490
3762 3619
3868 3508
4049 3578
4676 4050
4483 4182
3913 3750
4037 4132
4114 3931
3876 3905","2,7 2,0
2,3 2,1
2,8 2,4
2,0 2,6
1,9 2,1
2,0 2,1
2,3 2,1
2,7 3,0
2,6 2,5
2,4 1,6
3,1 2,9
2,2 2,4"
Total,35311 33613,854 776,3116 2606,43202 41327,47172 44709,"2,4 2,3"
