,Até 5 anos,5 a 9 anos,10 a 14 anos
,2007 2008,2007 2008,2007 2008
"Veíc. ligeiro
Veíc. pesado
Ciclomotor
Motociclos
Sub-total","10982 10141
557 514
851 1024
1385 1278
13775 12957","15693 13908
964 768
1120 806
1425 1157
19202 16639","10428 10859
482 526
853 780
729 756
12492 12921"
,15 a 19 anos,>=20 anos,Total(1)
,2007 2008,2007 2008,2007 2008
"Veíc. ligeiro
Veíc. pesado
Ciclomotor
Motociclos
Sub-total","5796 6083
329 339
1067 820
279 338
7471 7580","843 1045
94 100
360 303
58 76
1355 1524","44075 42328
2451 2272
4430 3782
3933 3650
54889 52032"
