,"Acidentes c/
vítimas",Mortos,Feridos graves,Feridos leves,"Total de
vítimas"
"REGIÃO NORTE
Dentro Localidade
Fora Localidade","9540
7711
1829","197
139
58","679
540
139","12071
9550
2521","12947
10229
2718"
"Braga
Dentro Localidade
Fora Localidade","2653
2358
295","56
51
5","233
206
27","3342
2951
391","3631
3208
423"
"Bragança
Dentro Localidade
Fora Localidade","382
160
222","16
3
13","57
26
31","484
182
302","557
211
346"
"Porto
Dentro Localidade
Fora Localidade","5196
4323
873","87
60
27","291
251
40","6626
5402
1224","7004
5713
1291"
"V. Castelo
Dentro Localidade
Fora Localidade","773
558
215","28
21
7","51
27
24","946
661
285","1025
709
316"
"V. Real
Dentro Localidade
Fora Localidade","536
312
224","10
4
6","47
30
17","673
354
319","730
388
342"
