,Feminino,Masculino,Total(1)
,2007 2008,2007 2008,2007 2008
"Vítimas mortais
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","40 55
0 0
1 0
4 8
3 6
5 8
3 5
4 4
7 4
4 8
2 2
3 3
2 3
1 2
1 2
0 0","487 435
3 0
21 14
67 45
59 57
55 49
48 51
32 31
29 31
40 33
26 30
24 22
28 22
21 19
34 31
0 0","531 492
3 0
22 14
72 53
63 63
60 58
51 56
37 35
36 35
44 41
29 32
27 25
30 25
22 21
35 33
0 1"
"Feridos graves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","239 208
6 3
11 11
26 30
47 27
31 37
33 19
26 22
23 18
16 11
8 14
7 6
3 6
2 2
0 2
0 0","1515 1281
25 19
140 96
211 175
197 179
215 157
130 114
132 97
102 93
101 79
56 57
49 46
53 49
39 60
62 58
3 2","1772 1490
31 22
152 108
241 205
245 206
248 194
165 133
158 119
129 111
119 90
64 71
57 52
56 55
42 62
62 60
3 2"
