,Feminino,Masculino,Total(1)
,2007 2008,2007 2008,2007 2008
"Vítimas mortais
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","81 83
7 6
7 9
6 9
4 3
3 6
2 5
3 0
2 7
8 2
3 6
7 7
7 5
9 6
13 12
0 0","103 65
7 7
9 10
22 10
12 5
8 4
9 1
6 5
5 0
1 6
6 2
4 2
0 1
6 3
6 9
2 0","186 148
14 13
16 19
28 19
16 8
11 10
11 6
9 5
7 7
9 8
9 8
12 9
7 6
15 9
19 21
3 0"
"Feridos graves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","309 268
29 24
37 29
31 31
31 20
21 21
17 18
19 26
20 10
16 15
18 14
12 14
13 22
23 12
22 11
0 1","415 319
46 48
67 46
78 64
51 27
42 23
19 16
27 26
18 10
20 12
13 11
13 9
5 7
6 9
9 10
1 1","725 587
75 72
105 75
109 95
82 47
63 44
36 34
46 52
38 20
36 27
31 25
25 23
18 29
29 21
31 21
1 2"
