,Feminino,Masculino,Total(1)
,2007 2008,2007 2008,2007 2008
"Feridos leves
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","2947 2779
90 70
119 91
231 222
247 237
149 145
147 119
126 121
121 135
146 157
166 171
172 181
176 170
181 191
207 163
229 197
432 403
8 6","2606 2364
171 151
228 169
281 226
144 163
107 114
121 79
109 98
135 114
127 125
152 126
133 114
134 108
130 136
138 150
163 177
326 303
7 11","5570 5147
261 222
349 260
514 449
394 400
257 259
269 199
236 219
258 249
275 282
320 297
306 295
310 278
311 327
345 313
392 374
758 706
15 18"
"Total de vítimas
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","3270 3063
105 79
126 102
252 241
258 258
160 152
158 130
134 132
141 139
160 175
185 181
189 188
192 186
203 217
228 187
266 226
504 464
9 6","3039 2745
190 173
253 187
301 250
154 176
118 123
138 88
138 112
159 134
158 152
173 154
155 144
159 135
160 159
170 175
202 200
401 370
10 13","6326 5812
295 253
381 289
555 492
415 434
279 275
297 219
273 244
302 273
320 327
360 335
345 332
351 321
363 376
398 362
468 426
905 834
19 20"
