Aveiro,,,,,,,,
"Código
da via","Km
Inicial","km
Final","Nº de
Acidentes","Nº de
Veículos","Nº de
Mortos","Nº de
F.Graves","Nº de
F.Leves","Indicador de
Gravidade"
"A29 (1)
EN1
EN333","37,500
285,400
16,500","37,700
285,500
16,650","6
5
7","8
12
14","1
0
0","0
0
0","8
9
12","124
27
36"
Coimbra,,,,,,,,
A1 (1),"188,175","188,320",8,11,0,0,13,39
Leiria,,,,,,,,
EN242,"41,800","42,000",5,9,0,0,8,24
Viseu,,,,,,,,
EN16,"80,300","80,400",5,6,0,2,5,35
(1) Sentido crescente da quilometragem,,,,,,,,
