,Feminino,Masculino,Total(1)
,2007 2008,2007 2008,2007 2008
"Feridos leves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","7505 7092
1061 1028
796 733
844 798
595 583
521 486
441 384
416 390
483 425
409 420
430 387
376 388
363 346
342 310
392 367
36 47","5064 4928
1034 955
740 724
798 794
480 468
382 415
295 313
277 270
215 187
170 189
148 142
131 114
115 104
109 83
156 147
14 23","12588 12025
2100 1983
1541 1459
1645 1592
1077 1052
904 901
736 697
693 660
699 612
579 609
578 529
508 503
478 450
451 393
549 514
50 71"
"Total de vítimas
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","7895 7443
1097 1058
840 771
881 838
630 606
545 513
460 407
438 416
505 442
433 437
451 407
395 409
383 373
374 328
427 390
36 48","5582 5312
1087 1010
816 780
898 868
543 500
432 442
323 330
310 301
238 197
191 207
167 155
148 125
120 112
121 95
171 166
17 24","13499 12760
2189 2068
1662 1553
1782 1706
1175 1107
978 955
783 737
748 717
744 639
624 644
618 562
545 535
503 485
495 423
599 556
54 73"
