,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2007 2008,2007 2008,2007 2008,2007 2008
"Abertura de porta
Ausência de luzes quando obrigatórias
Circulação afastada berma ou passeio
Desrespeito da sinalização semafórica
Desrespeito da sinalização vertical
Desrespeito distâncias de segurança
Desrespeito das marcas rodoviárias
Encandeamento
Falha mecânica do veículo
Manobra irregular
Não definida
Não identificada
Não sinalização da manobra
Obstáculo imprevisto faixa de rodagem
Queda de carga ou objecto
Rebentamento de pneumático
Veloc. exc. para condições existentes","0 1
3 2
3 2
4 2
21 16
5 2
3 3
0 0
2 0
21 20
27 27
290 293
0 1
1 3
0 0
1 2
150 118","0 1
5 4
14 10
13 7
62 59
11 15
26 19
6 7
2 6
88 77
173 138
926 856
7 7
20 18
0 0
10 6
409 260","11 13
25 21
119 104
112 99
897 783
447 471
150 139
160 171
142 95
1050 944
3652 3394
12919 13276
81 69
473 417
10 16
151 128
4645 4015","11 15
33 27
136 116
129 108
980 858
463 488
179 161
166 178
146 101
1159 1041
3852 3559
14135 14425
88 77
494 438
10 16
162 136
5204 4393"
Total,531 492,1772 1490,25044 24155,27347 26137
