,"Acidentes c/
vítimas
2007 2008","Vítimas
mortais
2007 2008","Feridos
graves
2007 2008","Feridos leves
2007 2008","Total de
vítimas
2007 2008","Índice de
gravidade
2007 2008"
Auto-Estrada,2282 2501,112 84,212 197,3276 3468,3600 3749,"4,9 3,4"
"Est. Nacional
Dentro localidades
Fora localidades","9039 8315
4546 4181
4493 4134","360 326
121 129
239 197","1103 850
452 358
651 492","11604 10810
5786 5406
5818 5404","13067 11986
6359 5893
6708 6093","4,0 3,9
2,7 3,1
5,3 4,8"
"IP/IC
Dentro localidades
Fora localidades","1149 1063
283 192
866 871","79 46
6 4
73 42","164 89
22 14
142 75","1554 1473
382 263
1172 1210","1797 1608
410 281
1387 1327","6,9 4,3
2,1 2,1
8,4 4,8"
"Est. Municipal
Dentro localidades
Fora localidades","3848 2862
1380 1121
2468 1741","102 92
22 35
80 57","377 266
111 101
266 165","4679 3559
1675 1381
3004 2178","5158 3917
1808 1517
3350 2400","2,7 3,2
1,6 3,1
3,2 3,3"
Arruamentos,18204 17792,185 181,1184 1105,21098 20701,22467 21987,"1,0 1,0"
"Outras(1)
Dentro localidades
Fora localidades","789 1080
429 470
360 610","16 47
7 17
9 30","76 99
24 41
52 58","991 1316
571 561
420 755","1083 1462
602 619
481 843","2,0 4,4
1,6 3,6
2,5 4,9"
"Total
Dentro localidades
Fora localidades","35311 33613
24842 23756
10469 9857","854 776
341 366
513 410","3116 2606
1793 1619
1323 987","43202 41327
29512 28312
13690 13015","47172 44709
31646 30297
15526 14412","2,4 2,3
1,4 1,5
4,9 4,2"
