,Vítimas mortais,Feridos graves,Feridos leves,Total de vítimas
,2007 2008,2007 2008,2007 2008,2007 2008
"Segunda
Terça
Quarta
Quinta
Sexta
Sábado
Domingo","71 69
55 68
76 49
67 46
66 71
102 92
94 97","251 178
193 192
225 206
231 184
262 217
319 274
291 239","3602 3598
3431 3269
3695 3223
3414 3509
3779 3930
3708 3480
3415 3146","3924 3845
3679 3529
3996 3478
3712 3739
4107 4218
4129 3846
3800 3482"
Total,531 492,1772 1490,25044 24155,27347 26137
