Braga,,,,,,,,
"Código
da via","Km
Inicial","km
Final","Nº de
Acidentes","Nº de
Veículos","Nº de
Mortos","Nº de
F.Graves","Nº de
F.Leves","Indicador de
Gravidade"
"EN105
EN105
EN201
EN205
EN206","41,200
39,800
62,800
39,300
25,250","41,400
40,000
62,900
39,350
25,338","6
7
6
5
6","9
14
14
8
10","1
0
0
0
0","2
1
1
1
0","11
11
11
8
12","153
43
43
34
36"
Porto,,,,,,,,
"A29 (2)
EN101
EN104
EN13
EN15","47,000
132,920
6,980
16,500
11,980","47,200
133,100
7,100
16,625
12,150","6
5
6
5
7","10
12
10
8
14","1
0
1
0
0","0
0
0
1
0","7
9
15
5
8","121
27
145
25
24"
,,,,,,,,
(2) Sentido decrescente da quilometragem,,,,,,,,
