,"Acidentes c/
vítimas
2006 2007","Vítimas
mortais
2006 2007","Feridos
graves
2006 2007","Feridos leves
2006 2007","Total de
vítimas
2006 2007","Índice de
gravidade
2006 2007"
Auto-Estrada,2327 2282,74 112,216 212,3313 3276,3603 3600,"3,2 4,9"
"Est. Nacional
Dentro localidades
Fora localidades","9418 9039
4661 4546
4757 4493","354 360
134 121
220 239","1173 1103
466 452
707 651","12229 11604
6035 5786
6194 5818","13756 13067
6635 6359
7121 6708","3,8 4,0
2,9 2,7
4,6 5,3"
"IP/IC
Dentro localidades
Fora localidades","1299 1149
277 283
1022 866","75 79
8 6
67 73","192 164
23 22
169 142","1743 1554
369 382
1374 1172","2010 1797
400 410
1610 1387","5,8 6,9
2,9 2,1
6,6 8,4"
"Est. Municipal
Dentro localidades
Fora localidades","3685 3848
1386 1380
2299 2468","129 102
46 22
83 80","414 377
125 111
289 266","4387 4679
1664 1675
2723 3004","4930 5158
1835 1808
3095 3350","3,5 2,7
3,3 1,6
3,6 3,2"
Arruamentos,18224 18204,189 185,1410 1184,21081 21098,22680 22467,"1,0 1,0"
"Outras(1)
Dentro localidades
Fora localidades","727 789
416 429
311 360","29 16
16 7
13 9","78 76
40 24
38 52","901 991
530 571
371 420","1008 1083
586 602
422 481","4,0 2,0
3,8 1,6
4,2 2,5"
"Total
Dentro localidades
Fora localidades","35680 35311
24964 24842
10716 10469","850 854
393 341
457 513","3483 3116
2064 1793
1419 1323","43654 43202
29679 29512
13975 13690","47987 47172
32136 31646
15851 15526","2,4 2,4
1,6 1,4
4,3 4,9"
