,Feminino,Masculino,Total(1)
,2006 2007,2006 2007,2006 2007
"Vítimas mortais
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","54 44
1 1
0 0
2 2
2 0
0 1
0 0
0 1
5 3
4 1
1 3
0 0
7 2
7 2
5 4
6 6
14 18
0 0","82 93
3 2
0 2
1 0
1 0
0 1
4 4
1 9
2 8
6 5
7 3
8 5
6 2
10 9
6 8
8 13
17 20
2 2","137 137
4 3
0 2
3 2
3 0
0 2
4 4
1 10
7 11
10 6
8 6
8 5
13 4
17 11
11 12
14 19
32 38
2 2"
"Feridos Graves
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","289 279
8 14
14 7
18 19
13 11
11 10
8 11
10 7
11 17
14 13
15 16
24 17
18 14
14 20
18 17
33 31
60 54
0 1","327 340
22 17
22 23
17 20
17 10
12 10
11 13
18 20
13 16
26 26
27 18
13 17
24 23
18 21
21 24
19 26
42 55
5 1","617 619
30 31
36 30
35 39
30 21
23 20
19 24
28 27
24 33
40 39
42 34
37 34
42 37
32 41
39 41
52 57
103 109
5 2"
