,Feminino,Masculino,Total(1)
,2006 2007,2006 2007,2006 2007
"Vítimas mortais
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","39 40
0 0
0 1
3 4
11 3
6 5
5 3
1 4
2 7
3 4
1 2
2 3
1 2
0 1
4 1
0 0","507 487
3 3
18 21
51 67
73 59
54 55
45 48
40 32
32 29
33 40
26 26
24 24
33 28
40 21
32 34
3 0","551 531
3 3
18 22
54 72
84 63
60 60
51 51
43 37
34 36
36 44
28 29
26 27
34 30
40 22
37 35
3 0"
"Feridos graves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","298 239
2 6
10 11
47 26
40 47
41 31
48 33
21 26
40 23
12 16
13 8
8 7
3 3
5 2
7 0
1 0","1699 1515
21 25
132 140
256 211
213 197
217 215
139 130
127 132
137 102
92 101
86 56
80 49
70 53
56 39
59 62
14 3","2014 1772
23 31
144 152
304 241
253 245
258 248
190 165
149 158
178 129
106 119
99 64
88 57
74 56
61 42
66 62
21 3"
